Course Name,Timestamp,Rating,Comment
Data Engineering using Databricks on AWS and Azure,2022-08-04 07:22:13,4.0,
Mastering AWS Lambda Functions for Data Engineers,2022-08-04 07:09:32,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-04 06:59:21,4.5,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-04 06:37:24,1.0,hi
Data Engineering using AWS Data Analytics Services,2022-08-04 05:10:51,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-04 04:48:44,4.5,
"Sqoop, Hive and Impala for Data Analysts (Formerly CCA 159)",2022-08-04 04:08:11,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-04 03:45:02,5.0,Very essential for DEs
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-04 03:14:59,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-04 01:47:04,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-04 01:37:41,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-03 23:34:35,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-03 21:55:10,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-03 21:25:52,4.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-03 18:35:31,5.0,Amazing ...in detail...thorough...great teaching skills
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-03 14:33:59,2.0,
Linux Shell Commands for Absolute Beginners using Ubuntu 20x,2022-08-03 14:30:37,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-03 14:24:45,4.5,
Data Engineering using AWS Data Analytics Services,2022-08-03 13:19:15,3.5,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-03 13:16:07,4.5,
Data Engineering using Databricks on AWS and Azure,2022-08-03 10:39:23,3.5,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-08-03 10:14:26,5.0,Good learning
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-03 08:19:58,5.0,
Scala and Spark 2 - Getting Started,2022-08-03 07:43:09,4.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-03 07:25:01,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-03 07:03:42,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-03 06:16:23,5.0,nice course
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-03 06:09:52,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-03 05:58:22,5.0,Good Course
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-03 05:42:53,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-03 04:41:45,3.0,"The instructor is moving too fast that I could not even take down my notes, also I believe the instructor should explain things in more elaborative manner beginners might not understand what is going on just like me! Also, one suggestion is to scroll down the screen to middle so that code typed is not at the bottom of the screen, it creates a better visibility. This is my opinion based on a couple sections, I might change the rating based on my experience overall!"
Data Engineering using Databricks on AWS and Azure,2022-08-03 00:43:07,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-02 21:23:06,3.0,
Databricks Essentials for Spark Developers (Azure and AWS),2022-08-02 16:27:30,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-02 15:01:01,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-02 14:54:55,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-02 10:17:23,4.0,
Databricks Essentials for Spark Developers (Azure and AWS),2022-08-02 10:05:27,4.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-02 09:53:53,5.0,labs are easily accessible and i can execute the sample code of course easily and interactively in itversity lab.
Getting Started with AWS Lambda Functions using Python,2022-08-02 09:51:03,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-02 07:50:02,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-02 07:08:38,5.0,
"Sqoop, Hive and Impala for Data Analysts (Formerly CCA 159)",2022-08-02 06:23:15,3.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-02 06:12:40,5.0,It is a comprehensive course covering key topics. Teaching style is to the point and concepts are explained well.
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-02 00:26:14,1.0,Speaks too fast and very hard to understand
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-01 19:49:07,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-01 19:37:47,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-01 19:05:54,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-01 17:56:13,3.0,
Data Engineering using AWS Data Analytics Services,2022-08-01 11:24:03,5.0,
Data Engineering using AWS Data Analytics Services,2022-08-01 11:02:57,5.0,v. good
HDPCD:Spark using Scala,2022-08-01 10:34:13,4.5,
Data Engineering using Databricks on AWS and Azure,2022-08-01 09:43:52,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-01 08:39:50,4.5,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-08-01 08:23:58,5.0,
Data Engineering using Databricks on AWS and Azure,2022-08-01 07:40:32,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-01 06:30:53,3.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-01 06:07:58,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-08-01 06:02:41,1.0,dont see an option to ask question to the trainer? also he is speaking so fast as if he has to rush somewhere after the lecture.
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-01 04:35:48,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-01 03:57:42,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-08-01 00:27:12,4.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-31 22:10:14,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-31 21:54:09,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-31 19:41:01,5.0,
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-31 18:06:44,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-31 16:38:41,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-31 15:38:52,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-31 14:11:11,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-31 13:56:12,3.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-31 10:38:07,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-31 09:56:07,4.0,
Data Engineering using AWS Data Analytics Services,2022-07-31 05:49:38,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-31 03:08:01,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-31 00:21:33,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-30 20:12:06,5.0,
"Sqoop, Hive and Impala for Data Analysts (Formerly CCA 159)",2022-07-30 19:38:09,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-30 17:42:49,5.0,Gave a good learning curve.
Data Engineering using AWS Data Analytics Services,2022-07-30 17:25:29,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-30 16:59:43,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-30 16:31:46,3.5,Yes
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-30 14:19:59,2.5,
Data Engineering using AWS Data Analytics Services,2022-07-30 13:43:29,5.0,
Data Engineering using Databricks on AWS and Azure,2022-07-30 13:33:57,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-30 13:24:19,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-30 10:23:55,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-30 08:02:01,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-30 07:38:46,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-30 06:41:13,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-30 03:10:27,5.0,
Linux Fundamentals for IT Professionals,2022-07-29 23:04:57,1.0,trying to understand
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-29 22:56:35,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-29 18:32:46,1.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-29 17:43:01,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-29 17:08:16,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-29 16:53:22,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-07-29 16:17:18,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-29 14:59:12,4.0,
Data Engineering using AWS Data Analytics Services,2022-07-29 14:25:08,5.0,
Data Engineering using Databricks on AWS and Azure,2022-07-29 11:52:26,5.0,
